,A,B,fitness,folder
0,1,1,9.676782665,L
1,1,2,6.778266305,L
2,1,3,3.319112605,L
3,1,4,7.297839334,L
4,1,5,4.037811485,L
5,1,6,6.896739968,L
6,1,7,5.378596346,L
7,1,8,4.62598473,L
8,1,9,9.07604535,L
9,1,10,8.981457561,L
10,2,1,0.922429595,L
11,2,2,5.278366379,L
12,2,3,5.855989327,L
13,2,4,2.432278615,L
14,2,5,2.397055966,L
15,2,6,1.829309708,L
16,2,7,7.874893914,L
17,2,8,4.196573417,L
18,2,9,4.782556602,L
19,2,10,2.759945672,L
20,3,1,6.6299801,L
21,3,2,1.887424385,L
22,3,3,3.332977485,L
23,3,4,6.547997538,L
24,3,5,5.959952636,L
25,3,6,4.962154285,L
26,3,7,3.411785453,L
27,3,8,3.561324605,L
28,3,9,6.179351433,L
29,3,10,4.709636978,L
30,4,1,2.103184577,L
31,4,2,1.00E+99,L
32,4,3,3.790283511,L
33,4,4,1.495581253,L
34,4,5,1.00E+99,L
35,4,6,1.00E+99,L
36,4,7,2.536706022,L
37,4,8,1.381216094,L
38,4,9,4.397345642,L
39,4,10,1.00E+99,L
40,5,1,2.259302131,L
41,5,2,2.250324454,L
42,5,3,2.31943128,L
43,5,4,3.427833055,L
44,5,5,2.448429517,L
45,5,6,2.149123451,L
46,5,7,1.861326861,L
47,5,8,2.183205674,L
48,5,9,2.978049213,L
49,5,10,3.258196292,L
50,6,1,18.06393875,L
51,6,2,8.244912968,L
52,6,3,33.70094503,L
53,6,4,4.194666881,L
54,6,5,13.39698977,L
55,6,6,5.877897541,L
56,6,7,7.973813673,L
57,6,8,10.24453014,L
58,6,9,8.542343057,L
59,6,10,15.21522197,L
60,7,1,2.916073929,L
61,7,2,2.498458229,L
62,7,3,1.441648977,L
63,7,4,4.037808223,L
64,7,5,8.137911027,L
65,7,6,5.248338277,L
66,7,7,3.646010389,L
67,7,8,3.456434588,L
68,7,9,4.934569455,L
69,7,10,2.4699286,L
70,8,1,11.26346183,L
71,8,2,12.66965746,L
72,8,3,1.00E+99,L
73,8,4,14.4434049,L
74,8,5,21.61092732,L
75,8,6,12.1856422,L
76,8,7,9.974157856,L
77,8,8,12.86982333,L
78,8,9,7.366601066,L
79,8,10,16.034761,L
80,9,1,1.029072783,L
81,9,2,2.210893456,L
82,9,3,1.534779572,L
83,9,4,3.46251478,L
84,9,5,2.155131196,L
85,9,6,2.885481997,L
86,9,7,3.141240499,L
87,9,8,3.043931195,L
88,9,9,2.452141286,L
89,9,10,1.61232051,L
90,10,1,6.73307768,L
91,10,2,4.570426566,L
92,10,3,12.28152361,L
93,10,4,8.982089228,L
94,10,5,2.919691946,L
95,10,6,3.445633817,L
96,10,7,15.42638791,L
97,10,8,11.22175023,L
98,10,9,7.991733667,L
99,10,10,6.594709756,L
100,11,1,1.229106837,L
101,11,2,1.386839307,L
102,11,3,2.127566364,L
103,11,4,2.798561502,L
104,11,5,2.705550106,L
105,11,6,1.470167908,L
106,11,7,2.067053993,L
107,11,8,1.935977094,L
108,11,9,1.806602845,L
109,11,10,1.660495861,L
110,12,1,3.1016984,L
111,12,2,3.243876955,L
112,12,3,3.733496552,L
113,12,4,10.10847462,L
114,12,5,7.255993894,L
115,12,6,1.920156746,L
116,12,7,4.264368585,L
117,12,8,2.799726041,L
118,12,9,6.128854132,L
119,12,10,4.547559796,L
120,13,1,2.586364963,L
121,13,2,6.24021746,L
122,13,3,4.76541684,L
123,13,4,4.348809837,L
124,13,5,3.108558462,L
125,13,6,2.240339969,L
126,13,7,2.480413263,L
127,13,8,5.508458963,L
128,13,9,3.645657882,L
129,13,10,2.492607331,L
130,14,1,2.241259614,L
131,14,2,4.79587477,L
132,14,3,3.7599021,L
133,14,4,3.133996631,L
134,14,5,2.39351702,L
135,14,6,3.957114064,L
136,14,7,3.164586574,L
137,14,8,4.033626674,L
138,14,9,3.543652438,L
139,14,10,3.725788309,L
140,15,1,4.065799928,L
141,15,2,9.352985296,L
142,15,3,8.752806665,L
143,15,4,4.516498523,L
144,15,5,5.46369936,L
145,15,6,4.435010808,L
146,15,7,7.715694707,L
147,15,8,10.10463377,L
148,15,9,8.570951614,L
149,15,10,7.702089377,L
150,16,1,4.823359134,L
151,16,2,1.00E+99,L
152,16,3,4.573638098,L
153,16,4,1.560707068,L
154,16,5,15.64804311,L
155,16,6,3.775205392,L
156,16,7,4.295776962,L
157,16,8,1.980833306,L
158,16,9,1.545373131,L
159,16,10,4.363689371,L
160,17,1,0.444935949,L
161,17,2,,L
162,17,3,0.664270805,L
163,17,4,3.256537999,L
164,17,5,1.966944838,L
165,17,6,,L
166,17,7,,L
167,17,8,6.745588724,L
168,17,9,1.779214756,L
169,17,10,1.484613879,L
170,18,1,6.33493485,L
171,18,2,3.498024482,L
172,18,3,7.972205013,L
173,18,4,10.38657207,L
174,18,5,6.310332207,L
175,18,6,4.968637009,L
176,18,7,4.90517765,L
177,18,8,3.690073303,L
178,18,9,7.564395202,L
179,18,10,8.527983799,L
180,19,1,2.035263195,L
181,19,2,7.149736931,L
182,19,3,3.085991068,L
183,19,4,4.614152974,L
184,19,5,1.542455781,L
185,19,6,2.518805299,L
186,19,7,2.083905819,L
187,19,8,6.527523759,L
188,19,9,4.701016648,L
189,19,10,4.977779206,L
190,20,1,2.465954397,L
191,20,2,1.337058116,L
192,20,3,2.828154949,L
193,20,4,0.874302626,L
194,20,5,6.497358527,L
195,20,6,1.695151727,L
196,20,7,1.650112028,L
197,20,8,2.587237882,L
198,20,9,1.580363562,L
199,20,10,1.894527761,L
200,21,1,1.674834708,L
201,21,2,1.120607234,L
202,21,3,2.023053189,L
203,21,4,2.333184464,L
204,21,5,5.121157541,L
205,21,6,1.368750019,L
206,21,7,1.158469959,L
207,21,8,2.215378558,L
208,21,9,5.50237581,L
209,21,10,1.46912358,L
210,22,1,2.646474112,L
211,22,2,2.323927651,L
212,22,3,2.87529162,L
213,22,4,1.594765664,L
214,22,5,2.506404244,L
215,22,6,1.152594616,L
216,22,7,1.408542348,L
217,22,8,2.975710064,L
218,22,9,3.153115675,L
219,22,10,2.703382959,L
220,23,1,6.440192485,L
221,23,2,11.03404064,L
222,23,3,3.842873538,L
223,23,4,3.603977055,L
224,23,5,3.041994826,L
225,23,6,2.348437689,L
226,23,7,4.774696559,L
227,23,8,5.189863726,L
228,23,9,3.961243991,L
229,23,10,2.946566511,L
230,24,1,10.68937338,L
231,24,2,6.771673583,L
232,24,3,8.648645456,L
233,24,4,11.80968605,L
234,24,5,8.566678001,L
235,24,6,6.955649481,L
236,24,7,3.882801806,L
237,24,8,4.719649666,L
238,24,9,6.618943061,L
239,24,10,8.076821564,L
240,25,1,1.577936362,L
241,25,2,2.26802298,L
242,25,3,7.931264208,L
243,25,4,1.328989468,L
244,25,5,2.215314225,L
245,25,6,1.31360508,L
246,25,7,2.16304164,L
247,25,8,3.668965969,L
248,25,9,2.750628356,L
249,25,10,1.454203545,L
250,26,1,6.537034708,L
251,26,2,11.31113982,L
252,26,3,16.34812008,L
253,26,4,20.3376682,L
254,26,5,10.09231093,L
255,26,6,8.055341512,L
256,26,7,10.34854716,L
257,26,8,1.00E+99,L
258,26,9,11.47670294,L
259,26,10,1.00E+99,L
260,27,1,2.707605469,L
261,27,2,4.957907502,L
262,27,3,3.637904214,L
263,27,4,2.720209629,L
264,27,5,4.032394572,L
265,27,6,3.624954333,L
266,27,7,3.28086303,L
267,27,8,1.399179871,L
268,27,9,1.632134379,L
269,27,10,2.195334519,L
270,28,1,0.81527542,L
271,28,2,1.699004426,L
272,28,3,1.00E+99,L
273,28,4,3.74295939,L
274,28,5,1.00E+99,L
275,28,6,1.246483049,L
276,28,7,1.00E+99,L
277,28,8,1.338298135,L
278,28,9,1.96086179,L
279,28,10,1.187216354,L
280,29,1,0.616044656,L
281,29,2,1.258084118,L
282,29,3,1.016829749,L
283,29,4,0.805702571,L
284,29,5,1.448363419,L
285,29,6,1.097222434,L
286,29,7,0.935812319,L
287,29,8,0.86490169,L
288,29,9,1.226883558,L
289,29,10,1.250088158,L
290,30,1,0.783916999,L
291,30,2,1.645089054,L
292,30,3,1.546317122,L
293,30,4,4.951709351,L
294,30,5,3.776578511,L
295,30,6,1.088983371,L
296,30,7,6.560958208,L
297,30,8,3.311759771,L
298,30,9,9.041699456,L
299,30,10,2.387190007,L
300,31,1,4.351067633,L
301,31,2,2.336863172,L
302,31,3,1.255592885,L
303,31,4,1.538990367,L
304,31,5,2.847594415,L
305,31,6,1.771651983,L
306,31,7,2.36874186,L
